Pris;Kommune;Dato
28675;Frederiksberg;2011-10-01
28664;Frederiksberg;2011-11-01
28886;Frederiksberg;2011-12-01
29164;Frederiksberg;2012-01-01
28895;Frederiksberg;2012-02-01
29105;Frederiksberg;2012-03-01
29046;Frederiksberg;2012-04-01
28596;Frederiksberg;2012-05-01
28556;Frederiksberg;2012-06-01
28837;Frederiksberg;2012-07-01
28923;Frederiksberg;2012-08-01
29462;Frederiksberg;2012-09-01
29889;Frederiksberg;2012-10-01
29915;Frederiksberg;2012-11-01
25250;Frederiksberg;2012-12-01
30599;Frederiksberg;2013-01-01
30304;Frederiksberg;2013-02-01
31525;Frederiksberg;2013-03-01
31791;Frederiksberg;2013-04-01
32243;Frederiksberg;2013-05-01
32726;Frederiksberg;2013-06-01
32284;Frederiksberg;2013-07-01
32699;Frederiksberg;2013-08-01
32905;Frederiksberg;2013-09-01
33420;Frederiksberg;2013-10-01
33230;Frederiksberg;2013-11-01
33569;Frederiksberg;2013-12-01
33810;Frederiksberg;2014-01-01
33424;Frederiksberg;2014-02-01
34135;Frederiksberg;2014-03-01
34501;Frederiksberg;2014-04-01
35089;Frederiksberg;2014-05-01
35259;Frederiksberg;2014-06-01
35131;Frederiksberg;2014-07-01
35144;Frederiksberg;2014-08-01
34765;Frederiksberg;2014-09-01
35967;Frederiksberg;2014-10-01
35963;Frederiksberg;2014-11-01
36428;Frederiksberg;2014-12-01
37604;Frederiksberg;2015-01-01
38254;Frederiksberg;2015-02-01
38178;Frederiksberg;2015-03-01
38078;Frederiksberg;2015-04-01
38900;Frederiksberg;2015-05-01
40022;Frederiksberg;2015-06-01
39530;Frederiksberg;2015-07-01
40331;Frederiksberg;2015-08-01
41164;Frederiksberg;2015-09-01
40758;Frederiksberg;2015-10-01
41132;Frederiksberg;2015-11-01
40897;Frederiksberg;2015-12-01
41835;Frederiksberg;2016-01-01
42282;Frederiksberg;2016-02-01
43159;Frederiksberg;2016-03-01
43777;Frederiksberg;2016-04-01
44428;Frederiksberg;2016-05-01
43856;Frederiksberg;2016-06-01
43038;Frederiksberg;2016-07-01
43876;Frederiksberg;2016-08-01
44077;Frederiksberg;2016-09-01
44865;Frederiksberg;2016-10-01
44936;Frederiksberg;2016-11-01
44442;Frederiksberg;2016-12-01
45676;Frederiksberg;2017-01-01
45686;Frederiksberg;2017-02-01
46348;Frederiksberg;2017-03-01
46476;Frederiksberg;2017-04-01
46277;Frederiksberg;2017-05-01
46363;Frederiksberg;2017-06-01
46993;Frederiksberg;2017-07-01
47547;Frederiksberg;2017-08-01
48031;Frederiksberg;2017-09-01
46940;Frederiksberg;2017-10-01
47123;Frederiksberg;2017-11-01
46941;Frederiksberg;2017-12-01
25644;Dragør;2004-01-01
25594;Dragør;2004-02-01
25078;Dragør;2004-03-01
24909;Dragør;2004-04-01
25156;Dragør;2004-05-01
25828;Dragør;2004-06-01
17500;Dragør;2004-07-01
26638;Dragør;2004-08-01
26943;Dragør;2004-09-01
24866;Dragør;2004-10-01
23622;Dragør;2004-11-01
24841;Dragør;2004-12-01
24368;Dragør;2005-01-01
24216;Dragør;2005-02-01
26399;Dragør;2005-03-01
28706;Dragør;2005-04-01
28081;Dragør;2005-05-01
28333;Dragør;2005-06-01
25287;Dragør;2005-07-01
24074;Dragør;2005-08-01
32947;Dragør;2005-09-01
33915;Dragør;2005-10-01
38581;Dragør;2005-11-01
35625;Dragør;2005-12-01
34120;Dragør;2006-01-01
38140;Dragør;2006-02-01
34120;Dragør;2006-03-01
33584;Dragør;2006-04-01
34611;Dragør;2006-05-01
34002;Dragør;2006-06-01
35947;Dragør;2006-07-01
34336;Dragør;2006-08-01
34368;Dragør;2006-09-01
34824;Dragør;2006-10-01
35735;Dragør;2006-11-01
34754;Dragør;2006-12-01
34676;Dragør;2007-01-01
34465;Dragør;2007-02-01
35078;Dragør;2007-03-01
34046;Dragør;2007-04-01
33017;Dragør;2007-05-01
37540;Dragør;2007-06-01
38452;Dragør;2007-07-01
37845;Dragør;2007-08-01
35306;Dragør;2007-09-01
33844;Dragør;2007-10-01
33372;Dragør;2007-11-01
33143;Dragør;2007-12-01
33955;Dragør;2008-01-01
32831;Dragør;2008-02-01
35891;Dragør;2008-03-01
33282;Dragør;2008-04-01
32436;Dragør;2008-05-01
31941;Dragør;2008-06-01
31765;Dragør;2008-07-01
31583;Dragør;2008-08-01
31227;Dragør;2008-09-01
32079;Dragør;2008-10-01
31830;Dragør;2008-11-01
31576;Dragør;2008-12-01
32502;Dragør;2009-01-01
32500;Dragør;2009-02-01
